,Dwell_100,Dwell_101,Dwell_102,Dwell_103,mean,std
1922,43.0,,43.0,,43.0,0.0
1933,4.0,,,,4.0,0.0
1934,6.0,,,,6.0,0.0
1937,42.0,,,,42.0,0.0
1943,18.0,,,,18.0,0.0
1947,42.0,20.0,,,31.0,11.0
1951,18.0,,,,18.0,0.0
1955,7.0,,4.0,,5.5,1.5
1956,29.0,,,,29.0,0.0
1972,29.0,,,,29.0,0.0
1975,21.0,,,,21.0,0.0
1978,21.0,30.0,,,25.5,4.5
1980,20.0,,21.0,,20.5,0.5
1981,29.0,,,22.0,25.5,3.5
1984,31.0,,,,31.0,0.0
1986,25.0,,,,25.0,0.0
1990,22.0,,,,22.0,0.0
1992,20.0,7.0,,,13.5,6.5
1995,42.0,,,41.0,41.5,0.5
1997,19.0,,,19.0,19.0,0.0
2003,6.0,,,,6.0,0.0
2004,6.0,4.0,,,5.0,1.0
2008,21.0,,,,21.0,0.0
2015,19.0,41.0,4.0,23.0,21.75,13.179055353097201
2031,20.0,,,,20.0,0.0
2047,42.0,,,,42.0,0.0
2057,7.0,,,,7.0,0.0
2073,21.0,,18.0,8.0,15.666666666666666,5.557777333511022
2084,6.0,,,,6.0,0.0
2090,4.0,,,,4.0,0.0
2104,20.0,42.0,19.0,,27.0,10.614455552060438
2108,21.0,,30.0,30.0,27.0,4.242640687119285
2110,19.0,,,,19.0,0.0
2111,42.0,,,,42.0,0.0
2116,4.0,,21.0,,12.5,8.5
2121,26.0,4.0,,,15.0,11.0
2130,29.0,,,,29.0,0.0
2139,4.0,,,,4.0,0.0
2158,23.0,,,,23.0,0.0
2161,21.0,,,,21.0,0.0
2166,28.0,,,,28.0,0.0
2167,23.0,,,,23.0,0.0
2169,21.0,21.0,,,21.0,0.0
2172,20.0,,,19.0,19.5,0.5
2173,22.0,19.0,,,20.5,1.5
2185,6.0,,29.0,,17.5,11.5
2193,21.0,,,21.0,21.0,0.0
2194,19.0,27.0,,,23.0,4.0
2205,41.0,19.0,4.0,,21.333333333333332,15.195028426721976
2212,42.0,4.0,31.0,,25.666666666666668,15.965240019770729
2217,29.0,,,,29.0,0.0
2243,18.0,17.0,18.0,4.0,14.25,5.931905258852336
2250,42.0,,,,42.0,0.0
2258,28.0,30.0,,,29.0,1.0
2271,24.0,,,,24.0,0.0
2275,21.0,25.0,29.0,,25.0,3.265986323710904
2283,26.0,,,,26.0,0.0
2284,4.0,,,,4.0,0.0
2293,41.0,,,25.0,33.0,8.0
2299,19.0,,7.0,,13.0,6.0
2316,44.0,,,,44.0,0.0
2319,24.0,,,,24.0,0.0
2327,4.0,,28.0,,16.0,12.0
2341,4.0,6.0,,,5.0,1.0
2353,22.0,,,,22.0,0.0
2361,4.0,,24.0,,14.0,10.0
2374,17.0,,,,17.0,0.0
2389,21.0,25.0,,,23.0,2.0
2392,21.0,,,,21.0,0.0
2404,21.0,,,,21.0,0.0
2414,4.0,,,,4.0,0.0
2429,22.0,,,4.0,13.0,9.0
2431,19.0,,,,19.0,0.0
2432,4.0,,,,4.0,0.0
2436,27.0,,,,27.0,0.0
2438,25.0,,20.0,,22.5,2.5
2443,4.0,18.0,,,11.0,7.0
2444,24.0,,,,24.0,0.0
2448,26.0,,,,26.0,0.0
2465,42.0,,21.0,,31.5,10.5
2473,21.0,,,,21.0,0.0
2475,23.0,,,,23.0,0.0
2487,23.0,,6.0,,14.5,8.5
2496,4.0,,,,4.0,0.0
2498,28.0,,4.0,,16.0,12.0
2502,25.0,4.0,,,14.5,10.5
2504,21.0,21.0,23.0,,21.666666666666668,0.9428090415820634
2510,4.0,,,43.0,23.5,19.5
2519,42.0,,,20.0,31.0,11.0
2534,4.0,,,,4.0,0.0
2549,31.0,,,,31.0,0.0
2553,4.0,,,,4.0,0.0
2580,30.0,5.0,7.0,,14.0,11.343133018115703
2586,8.0,4.0,21.0,,11.0,7.2571803523590805
2591,24.0,,,,24.0,0.0
2602,42.0,,,,42.0,0.0
2606,19.0,20.0,4.0,,14.333333333333334,7.318166133366716
2612,7.0,24.0,,,15.5,8.5
2615,4.0,,22.0,,13.0,9.0
2619,24.0,,,,24.0,0.0
2621,23.0,,,,23.0,0.0
2630,25.0,,,,25.0,0.0
2640,7.0,,,,7.0,0.0
2652,7.0,4.0,,20.0,10.333333333333334,6.944222218666553
2661,6.0,,,,6.0,0.0
2666,43.0,,,,43.0,0.0
2667,23.0,,,21.0,22.0,1.0
2668,19.0,,,,19.0,0.0
2670,4.0,,,,4.0,0.0
2677,25.0,,,,25.0,0.0
2720,19.0,,20.0,,19.5,0.5
2733,4.0,,,,4.0,0.0
2735,24.0,,,6.0,15.0,9.0
2745,30.0,,,26.0,28.0,2.0
2746,4.0,,,,4.0,0.0
2769,19.0,,,,19.0,0.0
2770,20.0,23.0,,,21.5,1.5
2771,4.0,,42.0,,23.0,19.0
2775,6.0,,19.0,,12.5,6.5
2791,31.0,,,,31.0,0.0
2793,7.0,,,,7.0,0.0
2795,43.0,,30.0,,36.5,6.5
2800,30.0,,,,30.0,0.0
2806,19.0,,,,19.0,0.0
2818,29.0,,,8.0,18.5,10.5
2831,4.0,,,,4.0,0.0
2835,21.0,,,,21.0,0.0
2847,7.0,,,,7.0,0.0
2855,29.0,,,,29.0,0.0
2856,23.0,,21.0,,22.0,1.0
2859,21.0,,,4.0,12.5,8.5
2862,20.0,19.0,,,19.5,0.5
2874,4.0,20.0,,,12.0,8.0
2902,22.0,,,,22.0,0.0
2904,7.0,,,29.0,18.0,11.0
2911,5.0,,,,5.0,0.0
2950,19.0,31.0,,7.0,19.0,9.797958971132712
2955,4.0,,,,4.0,0.0
2961,4.0,,,,4.0,0.0
2962,4.0,,,,4.0,0.0
2968,20.0,19.0,29.0,29.0,24.25,4.763139720814412
2971,22.0,,,,22.0,0.0
2975,19.0,,,,19.0,0.0
2980,6.0,,18.0,,12.0,6.0
2982,8.0,,18.0,,13.0,5.0
2994,21.0,,,,21.0,0.0
2997,20.0,,,17.0,18.5,1.5
3001,4.0,,,,4.0,0.0
3007,24.0,,20.0,,22.0,2.0
3013,7.0,,,,7.0,0.0
3015,7.0,,,,7.0,0.0
3023,23.0,,,,23.0,0.0
3025,20.0,,,,20.0,0.0
3029,6.0,,,,6.0,0.0
3031,25.0,,,,25.0,0.0
3038,18.0,,,,18.0,0.0
3041,17.0,,,,17.0,0.0
3053,27.0,,,24.0,25.5,1.5
3062,25.0,,,,25.0,0.0
3075,29.0,,,,29.0,0.0
3082,8.0,,,26.0,17.0,9.0
3086,4.0,,29.0,,16.5,12.5
3091,29.0,,,,29.0,0.0
3093,43.0,,,,43.0,0.0
3100,41.0,,,,41.0,0.0
3101,19.0,31.0,,,25.0,6.0
3126,4.0,,,8.0,6.0,2.0
3130,23.0,,,24.0,23.5,0.5
3140,42.0,,,,42.0,0.0
3144,17.0,,19.0,,18.0,1.0
3156,24.0,,31.0,,27.5,3.5
3157,28.0,,,,28.0,0.0
3174,19.0,,,,19.0,0.0
3178,18.0,,,,18.0,0.0
3198,27.0,24.0,30.0,22.0,25.75,3.031088913245535
3203,20.0,,,,20.0,0.0
3205,21.0,,,4.0,12.5,8.5
3206,17.0,43.0,,,30.0,13.0
3211,4.0,,,,4.0,0.0
3213,4.0,,,,4.0,0.0
3225,19.0,,,,19.0,0.0
3230,8.0,,,19.0,13.5,5.5
3240,22.0,,29.0,,25.5,3.5
3247,7.0,,,,7.0,0.0
3251,23.0,,,,23.0,0.0
3253,21.0,,,,21.0,0.0
3255,25.0,,,,25.0,0.0
3264,24.0,,,,24.0,0.0
3265,24.0,,,23.0,23.5,0.5
3266,27.0,28.0,24.0,,26.333333333333332,1.699673171197595
3271,5.0,,,4.0,4.5,0.5
3279,7.0,,,,7.0,0.0
3282,24.0,4.0,,7.0,11.666666666666666,8.806563209081938
3296,28.0,,,,28.0,0.0
3304,4.0,,,,4.0,0.0
3311,7.0,,29.0,,18.0,11.0
3313,4.0,,,,4.0,0.0
3346,21.0,,,,21.0,0.0
3353,24.0,20.0,,,22.0,2.0
3355,22.0,,,30.0,26.0,4.0
3369,4.0,8.0,22.0,,11.333333333333334,7.717224601860151
3372,4.0,,42.0,,23.0,19.0
3373,43.0,,,41.0,42.0,1.0
3376,23.0,,,,23.0,0.0
3383,23.0,,,,23.0,0.0
3401,7.0,,,,7.0,0.0
3411,27.0,,,,27.0,0.0
3422,30.0,20.0,,,25.0,5.0
3428,23.0,,,19.0,21.0,2.0
3429,25.0,30.0,,,27.5,2.5
3431,4.0,,,,4.0,0.0
3438,22.0,,,,22.0,0.0
3440,42.0,,,24.0,33.0,9.0
3444,4.0,,,,4.0,0.0
3451,31.0,,,,31.0,0.0
3465,43.0,19.0,4.0,,22.0,16.06237840420901
3478,25.0,,,21.0,23.0,2.0
3481,4.0,,31.0,,17.5,13.5
3484,25.0,,,,25.0,0.0
3492,4.0,,,,4.0,0.0
3502,21.0,,,,21.0,0.0
3507,6.0,,,,6.0,0.0
3511,24.0,,,,24.0,0.0
3512,22.0,,,,22.0,0.0
3519,4.0,,25.0,26.0,18.333333333333332,10.143416036468626
3521,24.0,,,,24.0,0.0
3527,30.0,,,,30.0,0.0
3534,25.0,,,,25.0,0.0
3535,8.0,,,,8.0,0.0
3542,23.0,,,25.0,24.0,1.0
3543,23.0,,,,23.0,0.0
3549,23.0,,22.0,,22.5,0.5
3552,27.0,,,,27.0,0.0
3554,20.0,,,,20.0,0.0
3565,4.0,4.0,,20.0,9.333333333333334,7.542472332656507
3580,24.0,,,,24.0,0.0
3594,7.0,,,,7.0,0.0
3596,4.0,,,,4.0,0.0
3598,26.0,,,,26.0,0.0
3599,23.0,,,,23.0,0.0
3606,28.0,,,,28.0,0.0
3615,43.0,,,,43.0,0.0
3616,30.0,,,,30.0,0.0
3617,7.0,4.0,,,5.5,1.5
3624,4.0,,,,4.0,0.0
3642,23.0,,,,23.0,0.0
3644,20.0,22.0,,,21.0,1.0
3648,30.0,,,,30.0,0.0
3649,4.0,,23.0,17.0,14.666666666666666,7.93025150224688
3652,4.0,,23.0,,13.5,9.5
3658,7.0,,,,7.0,0.0
3662,27.0,,,,27.0,0.0
3663,23.0,,,,23.0,0.0
3671,21.0,,,,21.0,0.0
3675,19.0,,,,19.0,0.0
3685,29.0,25.0,,,27.0,2.0
3692,20.0,,,,20.0,0.0
3694,20.0,,,,20.0,0.0
3695,22.0,,,,22.0,0.0
3701,4.0,,,,4.0,0.0
3708,17.0,26.0,,,21.5,4.5
3724,22.0,,,,22.0,0.0
3725,19.0,31.0,,,25.0,6.0
3726,4.0,,,,4.0,0.0
3730,21.0,7.0,,,14.0,7.0
3732,20.0,,,,20.0,0.0
3753,4.0,,,,4.0,0.0
3758,27.0,,,,27.0,0.0
3760,22.0,,,,22.0,0.0
3762,21.0,7.0,,19.0,15.666666666666666,6.182412330330469
3806,29.0,,,,29.0,0.0
3814,4.0,,,,4.0,0.0
3823,27.0,,,,27.0,0.0
3825,25.0,,,,25.0,0.0
3829,22.0,24.0,,,23.0,1.0
3833,18.0,,,,18.0,0.0
3844,6.0,,,21.0,13.5,7.5
3845,4.0,,21.0,,12.5,8.5
3861,18.0,,,,18.0,0.0
3870,7.0,,,,7.0,0.0
3885,21.0,,,,21.0,0.0
3897,42.0,,4.0,,23.0,19.0
3898,25.0,25.0,,,25.0,0.0
3904,17.0,,,,17.0,0.0
3907,30.0,,,,30.0,0.0
3911,4.0,4.0,,,4.0,0.0
3913,29.0,,,,29.0,0.0
3923,30.0,,,23.0,26.5,3.5
3924,29.0,,,,29.0,0.0
3927,23.0,,,,23.0,0.0
3928,21.0,,,,21.0,0.0
3931,20.0,,,,20.0,0.0
3933,43.0,,19.0,,31.0,12.0
3940,20.0,,,,20.0,0.0
3947,23.0,5.0,,,14.0,9.0
3949,22.0,,23.0,,22.5,0.5
3959,26.0,,,,26.0,0.0
3960,25.0,,,,25.0,0.0
3966,19.0,17.0,4.0,,13.333333333333334,6.649979114420002
3982,7.0,,,,7.0,0.0
3985,30.0,,,,30.0,0.0
3988,22.0,,22.0,24.0,22.666666666666668,0.9428090415820634
3991,25.0,4.0,,21.0,16.666666666666668,9.104333522498443
3995,41.0,,6.0,,23.5,17.5
3997,20.0,,,,20.0,0.0
3998,42.0,,,42.0,42.0,0.0
4000,19.0,,,,19.0,0.0
4001,42.0,,,,42.0,0.0
4005,4.0,,,,4.0,0.0
4006,31.0,,,,31.0,0.0
4022,22.0,,,,22.0,0.0
4026,43.0,,,42.0,42.5,0.5
4047,4.0,,,,4.0,0.0
4048,7.0,29.0,20.0,,18.666666666666668,9.030811456096044
4057,42.0,18.0,,,30.0,12.0
4065,29.0,,27.0,,28.0,1.0
4073,19.0,,,,19.0,0.0
4078,4.0,,,,4.0,0.0
4082,7.0,,,,7.0,0.0
4086,21.0,,,,21.0,0.0
4092,24.0,,,,24.0,0.0
4097,21.0,,6.0,,13.5,7.5
4103,8.0,,,30.0,19.0,11.0
4111,23.0,,,,23.0,0.0
4129,18.0,6.0,,,12.0,6.0
4130,7.0,24.0,,,15.5,8.5
4135,30.0,,,,30.0,0.0
4145,21.0,24.0,29.0,,24.666666666666668,3.299831645537222
4147,22.0,,28.0,,25.0,3.0
4154,24.0,,,,24.0,0.0
4155,29.0,,,,29.0,0.0
4173,22.0,,18.0,,20.0,2.0
4181,23.0,,,,23.0,0.0
4192,4.0,,,,4.0,0.0
4193,30.0,,,,30.0,0.0
4195,8.0,25.0,,4.0,12.333333333333334,9.104333522498441
4196,4.0,,,24.0,14.0,10.0
4200,30.0,27.0,,,28.5,1.5
4218,20.0,,,,20.0,0.0
4227,7.0,20.0,,30.0,19.0,9.41629792788369
4228,25.0,,,,25.0,0.0
4238,25.0,,4.0,,14.5,10.5
4239,25.0,,4.0,,14.5,10.5
4251,24.0,4.0,,30.0,19.333333333333332,11.115554667022044
4253,4.0,,23.0,,13.5,9.5
4266,7.0,,,,7.0,0.0
4272,21.0,30.0,,,25.5,4.5
4305,42.0,,,,42.0,0.0
4316,4.0,,,,4.0,0.0
4318,4.0,,,,4.0,0.0
4325,4.0,,23.0,,13.5,9.5
4327,25.0,4.0,,,14.5,10.5
4330,20.0,,42.0,23.0,28.333333333333332,9.741092797468305
4332,6.0,,42.0,,24.0,18.0
4336,6.0,,,24.0,15.0,9.0
4343,30.0,,,19.0,24.5,5.5
4345,25.0,,29.0,,27.0,2.0
4350,43.0,,,,43.0,0.0
4353,18.0,,4.0,,11.0,7.0
4358,25.0,,,,25.0,0.0
4361,21.0,,,,21.0,0.0
4365,32.0,,20.0,,26.0,6.0
4366,20.0,4.0,,,12.0,8.0
4367,43.0,,19.0,26.0,29.333333333333332,10.077477638553981
4368,30.0,,,,30.0,0.0
4378,20.0,7.0,,,13.5,6.5
4383,42.0,,,,42.0,0.0
4395,24.0,,,,24.0,0.0
4427,23.0,,,,23.0,0.0
4430,23.0,,21.0,,22.0,1.0
4434,26.0,,,,26.0,0.0
4438,17.0,24.0,,,20.5,3.5
4443,4.0,,,23.0,13.5,9.5
4448,7.0,,31.0,,19.0,12.0
4451,26.0,,,,26.0,0.0
4453,19.0,,22.0,,20.5,1.5
4457,23.0,,19.0,19.0,20.333333333333332,1.8856180831641267
4464,19.0,,,,19.0,0.0
4466,42.0,,,,42.0,0.0
4467,19.0,,19.0,,19.0,0.0
4470,18.0,,,,18.0,0.0
4485,4.0,,24.0,24.0,17.333333333333332,9.428090415820632
4487,4.0,,,,4.0,0.0
4490,24.0,,23.0,,23.5,0.5
4500,7.0,,,,7.0,0.0
4501,29.0,,42.0,,35.5,6.5
4504,4.0,6.0,20.0,,10.0,7.118052168020874
4518,30.0,,,,30.0,0.0
4519,7.0,7.0,,,7.0,0.0
4527,19.0,,,,19.0,0.0
4528,42.0,21.0,,,31.5,10.5
4530,32.0,,,,32.0,0.0
4532,8.0,,,,8.0,0.0
4534,30.0,,,,30.0,0.0
4541,7.0,,,,7.0,0.0
4545,4.0,,,,4.0,0.0
4556,18.0,4.0,24.0,,15.333333333333334,8.379870059984357
4559,24.0,,,28.0,26.0,2.0
4561,19.0,,,22.0,20.5,1.5
4567,19.0,,,31.0,25.0,6.0
4594,21.0,,,,21.0,0.0
4596,6.0,,,,6.0,0.0
4602,7.0,,,,7.0,0.0
4611,20.0,22.0,,,21.0,1.0
4612,42.0,24.0,,,33.0,9.0
4613,20.0,,,,20.0,0.0
4617,4.0,,,,4.0,0.0
4630,6.0,,,,6.0,0.0
4648,20.0,22.0,19.0,,20.333333333333332,1.247219128924647
4657,4.0,30.0,,,17.0,13.0
4658,24.0,,,,24.0,0.0
4668,4.0,,,,4.0,0.0
4691,6.0,,,,6.0,0.0
4695,23.0,,,,23.0,0.0
4706,24.0,,,7.0,15.5,8.5
4708,4.0,,,,4.0,0.0
4723,23.0,20.0,,19.0,20.666666666666668,1.699673171197595
4739,29.0,,,,29.0,0.0
4743,27.0,,,,27.0,0.0
4748,21.0,,,,21.0,0.0
4760,4.0,,,,4.0,0.0
4761,29.0,,,,29.0,0.0
4762,29.0,,,,29.0,0.0
4774,4.0,,,,4.0,0.0
4785,8.0,,,,8.0,0.0
4799,29.0,23.0,,,26.0,3.0
4809,7.0,,,,7.0,0.0
4814,7.0,,,,7.0,0.0
4833,19.0,,,,19.0,0.0
4843,4.0,,,,4.0,0.0
4856,30.0,,,,30.0,0.0
4857,29.0,,,,29.0,0.0
4861,4.0,,,,4.0,0.0
4865,22.0,,,,22.0,0.0
4886,4.0,,,,4.0,0.0
4898,42.0,,,24.0,33.0,9.0
4904,30.0,,,,30.0,0.0
4907,30.0,,,,30.0,0.0
4924,23.0,,,4.0,13.5,9.5
4925,19.0,,,4.0,11.5,7.5
4928,4.0,24.0,,,14.0,10.0
4935,25.0,,,,25.0,0.0
4938,21.0,,,,21.0,0.0
4941,21.0,,,,21.0,0.0
4945,21.0,,,,21.0,0.0
4954,4.0,,,,4.0,0.0
4958,22.0,,,19.0,20.5,1.5
4962,23.0,,,4.0,13.5,9.5
4965,24.0,,30.0,,27.0,3.0
4969,43.0,,,,43.0,0.0
4974,18.0,,,,18.0,0.0
4975,4.0,,,,4.0,0.0
4995,20.0,,20.0,,20.0,0.0
4999,6.0,,,,6.0,0.0
5013,17.0,,20.0,,18.5,1.5
5020,26.0,,,,26.0,0.0
5027,19.0,,,,19.0,0.0
5028,20.0,,,,20.0,0.0
5035,25.0,,30.0,,27.5,2.5
5048,7.0,,18.0,,12.5,5.5
5050,4.0,,,,4.0,0.0
5054,24.0,,,,24.0,0.0
5059,24.0,,,,24.0,0.0
5078,17.0,,,,17.0,0.0
5084,7.0,28.0,,20.0,18.333333333333332,8.65383665716478
5100,25.0,,31.0,,28.0,3.0
5108,4.0,,,,4.0,0.0
5110,21.0,,,29.0,25.0,4.0
5142,24.0,,,19.0,21.5,2.5
5148,21.0,,,,21.0,0.0
5152,4.0,29.0,,4.0,12.333333333333334,11.785113019775793
5160,4.0,,,,4.0,0.0
5176,21.0,21.0,,,21.0,0.0
5188,7.0,4.0,43.0,,18.0,17.72004514666935
5197,19.0,,,,19.0,0.0
5200,28.0,7.0,,24.0,19.666666666666668,9.104333522498443
5202,21.0,,22.0,,21.5,0.5
5205,19.0,,,30.0,24.5,5.5
5214,8.0,,42.0,,25.0,17.0
5229,21.0,,,,21.0,0.0
5244,30.0,,,,30.0,0.0
5249,24.0,24.0,,,24.0,0.0
5267,21.0,,,,21.0,0.0
5270,20.0,25.0,,,22.5,2.5
5280,4.0,,,,4.0,0.0
5282,8.0,,,,8.0,0.0
5290,21.0,,,,21.0,0.0
5300,25.0,,,,25.0,0.0
5311,19.0,,,,19.0,0.0
5315,7.0,,,,7.0,0.0
5319,31.0,24.0,,,27.5,3.5
5339,21.0,,,,21.0,0.0
5349,4.0,,,,4.0,0.0
5362,17.0,24.0,,,20.5,3.5
5372,26.0,,,,26.0,0.0
5374,18.0,,,,18.0,0.0
5378,7.0,,,23.0,15.0,8.0
5379,31.0,,,,31.0,0.0
5381,25.0,,17.0,,21.0,4.0
5388,21.0,,,,21.0,0.0
5390,23.0,,,,23.0,0.0
5395,19.0,,,,19.0,0.0
5399,7.0,22.0,,,14.5,7.5
5400,4.0,,20.0,22.0,15.333333333333334,8.055363982396381
5402,4.0,,,,4.0,0.0
5415,24.0,7.0,,,15.5,8.5
5425,8.0,,,,8.0,0.0
5426,4.0,,,,4.0,0.0
5433,24.0,,,,24.0,0.0
5441,4.0,,,,4.0,0.0
5452,8.0,,,,8.0,0.0
5455,4.0,,,,4.0,0.0
5471,18.0,,,,18.0,0.0
5483,,,,43.0,43.0,0.0
5484,18.0,,,,18.0,0.0
5487,6.0,,,,6.0,0.0
5489,,,,40.0,40.0,0.0
5498,,,,,,
5508,4.0,,,,4.0,0.0
5509,,,,,,
5511,,,,30.0,30.0,0.0
